stage,audit_type,clause,clause_title,process_name,role,context,question,organization_focus,auditor_focus,defect_cases,evidence_examples,output_format,quality_criteria,result_label,severity_level,notes,prompt_template,source_hint,img_scene_types,img_object_categories,img_ppe_items,img_unsafe_actions_keywords,img_signage_text_keywords,img_evidence_sources,img_model_hint,img_acceptance_criteria,img_mapping_confidence,eval_metric,eval_threshold,evidence_source,self_check_1cycle,risk_priority
1단계,문서,4.1,조직과 조직상황의 이해,,ISO45001 심사원(AI 에이전트),조직의 내·외부 이슈 파악 문서 검토,조직은 OH&S 성과에 영향을 미치는 내부/외부 이슈를 식별·갱신하고 경영검토에 반영하는가?,"SWOT/PESTLE로 내·외부 이슈 체계적 관리 • 의도한 결과(상해·질병 예방, 안전한 작업장)와 연계 • 이슈 변화 감시 및 업데이트 주기 정의",이슈 목록이 최신인지 확인 • OH&S 적용범위(4.3) 및 목표(6.2)와 연계 추적 • 경영검토(9.3) 입력 항목 반영 여부 확인,이슈 목록이 오래되어 최근 변화(신규공정/법규) 미반영 • 이슈→조치 간 연결 근거 부재 • 이슈가 일반론적이고 사업장 특성이 반영되지 않음,이슈 파악 Sheet/대장 • 경영검토 회의록 • 리스크·기회 레지스터,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 4.1 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 4.1 조직과 조직상황의 이해 – 조직의 내·외부 이슈 파악 문서 검토
[질문] 조직은 OH&S 성과에 영향을 미치는 내부/외부 이슈를 식별·갱신하고 경영검토에 반영하는가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 4.1 적합성 + 정확성·일관성·검증가능성 + 법규 준수",원본 p.1 4.1,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
1단계,문서,4.2,이해관계자의 니즈와 기대 이해,,ISO45001 심사원(AI 에이전트),이해관계자 파악 및 요구사항 목록 검토,근로자·계약자·공급자·고객·기관 등 이해관계자의 요구와 기대를 식별하고 법규로 전환되는 요구를 관리하는가?,근로자/비관리자/계약자 포함 전 범주 식별 • 요구사항의 법규 전환 여부 판단 및 관리 • 경영검토 반영 및 커뮤니케이션 계획 연계,이해관계자 범주 누락 여부 확인 • 요구사항→프로세스·목표 연계성 검증 • 법적/기타 요구로 전환된 항목의 추적,계약자·파견·외국인 근로자 식별 누락 • 요구사항이 단순 나열로 관리책임/주기 미설정 • 요구 반영 증거(회의·훈련·절차) 부재,이해관계자 파악 Sheet • 요구사항 매핑표 • 내·외부 의사소통 로그,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 4.2 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 4.2 이해관계자의 니즈와 기대 이해 – 이해관계자 파악 및 요구사항 목록 검토
[질문] 근로자·계약자·공급자·고객·기관 등 이해관계자의 요구와 기대를 식별하고 법규로 전환되는 요구를 관리하는가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 4.2 적합성 + 정확성·일관성·검증가능성 + 법규 준수",원본 p.1 4.2,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
1단계,문서,4.3,안전보건경영시스템 적용범위 결정,,ISO45001 심사원(AI 에이전트),OH&S 적용범위 문서 검토,내·외부 이슈와 이해관계자 요구를 고려해 OH&S 경계·적용성·활동범위를 명확히 정의하고 있는가?,사업장/활동/제품·서비스 범위 명시 • 적용 제외 사유와 영향 명확화 • 범위 변경 시 관리 절차,범위 문서의 버전·승인·공유 확인 • 범위가 실제 운영(공정/현장)과 일치 여부 현장 샘플링 • 다사업장/복수사업주 상황 반영 확인,범위에 외주/협력업체 활동 반영 누락 • 문서와 실제 현장 범위 불일치 • 범위 변경 기록 및 의사소통 부재,적용범위 문서/메뉴얼 • 사업장 목록/도면 • 변경관리 기록,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 4.3 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 4.3 안전보건경영시스템 적용범위 결정 – OH&S 적용범위 문서 검토
[질문] 내·외부 이슈와 이해관계자 요구를 고려해 OH&S 경계·적용성·활동범위를 명확히 정의하고 있는가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 4.3 적합성 + 정확성·일관성·검증가능성 + 법규 준수",원본 p.1 4.3,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
1단계,문서,4.4,안전보건경영시스템,프로세스 맵,ISO45001 심사원(AI 에이전트),OH&S 시스템과 프로세스 상호작용 문서 검토,필요 프로세스와 상호작용을 수립·유지하고 비즈니스 프로세스에 통합되어 있는가?,프로세스 맵·상호작용도 보유 • 운영·지원·관리 프로세스에 OH&S 통합 • 프로세스별 성과지표/책임/자원 정의,프로세스 맵 최신성·현장 일치성 확인 • OH&S 전용 절차와 통합 절차의 경계 확인 • 프로세스 성과와 목표 연계 검토,OH&S가 별도 체계로 고립(운영 프로세스 미통합) • 상호작용 흐름 미정의 • 측정지표·책임 미정의,프로세스 맵 • 비즈니스 매트릭스 • 절차서/지침서 일람,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 4.4 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 4.4 안전보건경영시스템 – OH&S 시스템과 프로세스 상호작용 문서 검토
[질문] 필요 프로세스와 상호작용을 수립·유지하고 비즈니스 프로세스에 통합되어 있는가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 4.4 적합성 + 정확성·일관성·검증가능성 + 법규 준수",원본 p.1 4.4,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
2단계,인터뷰,5.1,리더십과 의지표명,,ISO45001 심사원(AI 에이전트),CEO/임원 인터뷰 및 경영검토 연계 확인,최고경영자는 5.1 (a)~(m) 책임과 보장을 이행하며 자원 제공·의도한 결과 달성·근로자 협의/참여 프로세스를 보장하는가?,"경영자가 정책·목표 승인 및 자원 제공 • 보복 금지 문화 조성, 참여 보장 • 법규 준수·지속개선 의지 표명",경영검토 출력에 자원·의도한 결과·참여 항목 포함 확인 • 리더 메시지/현장 순시 등 증거 확인 • 성과와 리스크 기반 의사결정 인터뷰,경영검토에 5.1 보장 항목이 누락 • 리더십 흔적(메시지/지시/자원결정) 부재 • 참여 저해요인 제거 활동 미흡,서명된 방침 • 자원배정 기록 • 경영검토 보고서 • 위원회 운영자료,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 5.1 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 5.1 리더십과 의지표명 – CEO/임원 인터뷰 및 경영검토 연계 확인
[질문] 최고경영자는 5.1 (a)~(m) 책임과 보장을 이행하며 자원 제공·의도한 결과 달성·근로자 협의/참여 프로세스를 보장하는가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 5.1 적합성 + 정확성·일관성·검증가능성 + 법규 준수",원본 p.1 5.1,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
2단계,문서+인터뷰,5.2,안전보건 방침,,ISO45001 심사원(AI 에이전트),방침 문서·교육·게시 상태 확인,방침이 수립·문서화·의사소통·이용 가능하며 ‘법규 준수/위험요인 제거 및 리스크 감소/지속적 개선/근로자 참여’ 약속을 포함하는가?,방침 최신본 게시 및 다언어 제공(필요 시) • 방침 인식도 제고 교육 실시 • 방침-목표-프로세스 정합,방침 내용이 규격 요구를 모두 포함하는지 점검 • 교육·인식 인터뷰 샘플링 • 외부 공개 여부 확인,방침에 핵심 약속 누락 • 방침 교육·인식 근거 부족 • 게시·접근성 미흡,방침 문서(서명본) • 교육자료/이수 기록 • 게시/공지 스샷,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 5.2 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 5.2 안전보건 방침 – 방침 문서·교육·게시 상태 확인
[질문] 방침이 수립·문서화·의사소통·이용 가능하며 ‘법규 준수/위험요인 제거 및 리스크 감소/지속적 개선/근로자 참여’ 약속을 포함하는가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 5.2 적합성 + 정확성·일관성·검증가능성 + 법규 준수",원본 p.2 5.2 / p.13 표-2,공지 게시판; 사내 디지털 사이니지,안전방침 게시물; 공지 포스터,,,,CCTV; 현장 사진; 드론(필요 시),OCR(게시판 문안); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),방침 최신본 게시 확인; OCR 문안 일치율 ≥ 95%,H,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
2단계,문서+인터뷰,5.3,조직의 역할·책임·권한,,ISO45001 심사원(AI 에이전트),R&R 문서와 보고라인 확인,역할·책임·권한이 정의·의사소통되고 성과보고 라인이 명확한가?,조직도와 직무기술서 일치 • OH&S 성과 보고 라인 확립 • 권한 위임 기준 명확화,R&R 최신성·배포·인식 확인 • 대행/부재 시 책임 체계 • 보고 주기·형식 검토,R&R 문서 불일치·미배포 • 보고 라인 불명확 • 권한 위임 기록 부재,조직도 • 직무기술서 • 권한 위임장 • 보고체계도,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 5.3 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 5.3 조직의 역할·책임·권한 – R&R 문서와 보고라인 확인
[질문] 역할·책임·권한이 정의·의사소통되고 성과보고 라인이 명확한가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 5.3 적합성 + 정확성·일관성·검증가능성 + 법규 준수",원본 p.2 5.3,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
2단계,문서+인터뷰,5.4,근로자 협의 및 참여,근로자 협의/참여 프로세스,ISO45001 심사원(AI 에이전트),위원회·참여 메커니즘 운영 확인,협의(9항목)·참여(7항목) 범주에 따라 프로세스가 운영되고 장벽 제거가 이루어지는가?,위원회 구성·주기·동수 원칙 준수 • 정보 사전 제공·교육·의견 반영 • 비관리자 참여 보장,표-3 항목 대비 운영 내역 매칭 • 참여 통계·제안제도 효과 점검 • 현장 인터뷰로 체감도 확인,위원회 형식 운영(실질 협의·참여 부재) • 안건·결과의 의사소통 미흡 • 비관리자 참여 제한,위원회 회의록 • 의사소통 기록 • 참여 프로그램 실적,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 5.4 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 5.4 근로자 협의 및 참여 – 위원회·참여 메커니즘 운영 확인
[질문] 협의(9항목)·참여(7항목) 범주에 따라 프로세스가 운영되고 장벽 제거가 이루어지는가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 5.4 적합성 + 정확성·일관성·검증가능성 + 법규 준수",원본 p.2 5.4 / p.14 표-3,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
1단계,문서,6.1.1,일반사항,,ISO45001 심사원(AI 에이전트),리스크/기회 관리 전반 프로세스 확인,"조직상황·이해관계자·법규를 고려해 위험요인 파악, 리스크·기회 평가 및 조치계획을 수립하는가?",위험성평가 체계와 연계 • 법규·기타 요구 반영 • 변경 시(조직/공정) 재평가,프로세스 문서화 수준 확인 • 실시 시기·책임·방법 명확성 확인 • 피드백 루프(경영검토) 상태,용어·범위 혼재로 프로세스 혼선 • 평가 주기 불명확 • 법규 변경 반영 지연,리스크/기회 관리 절차 • SWOT • 위험성평가 지침,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 6.1.1 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 6.1.1 일반사항 – 리스크/기회 관리 전반 프로세스 확인
[질문] 조직상황·이해관계자·법규를 고려해 위험요인 파악, 리스크·기회 평가 및 조치계획을 수립하는가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 6.1.1 적합성 + 정확성·일관성·검증가능성 + 법규 준수",원본 p.2 6.1.1,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
2단계,프로세스+현장,6.1.2.1,위험요인 파악,위험요인 파악 프로세스,ISO45001 심사원(AI 에이전트),현장 순회와 작업 분석 병행,일상·비일상·비상·인적요인 등 전 범주 위험요인을 체계적으로 식별하는가?,"작업/설비/환경·행동 요인 포괄 • 아차사고 포함, 근로자 참여 • 변경 시(설비/공정) 재식별",표-5/6 범주 참조해 누락 점검 • 근로자 대표 참여 증거 확인 • 현장 인터뷰·관찰로 리스트 검증,비일상/계약자 작업 위험요인 누락 • 근로자 참여 없는 탁상 식별 • 아차사고 미반영,위험요인 목록 • 순회점검표 • 참여 기록,"JSON keys: {조직중점사항[], 심사원중점사항[], 결함사례[], 판정('적합'|'부적합'|'개선필요'|'관찰'), 심각도('Cat.1'|'Cat.2'|'Cat.3'), 근거증빙[]}","ISO 45001 6.1.2.1 적합성, 정확성·일관성·검증가능성, 법규 준수(해당 시), 개인정보·저작권 준수",,,,"[역할] ISO45001 심사원(AI 에이전트)
[맥락] 6.1.2.1 위험요인 파악 – 현장 순회와 작업 분석 병행
[질문] 일상·비일상·비상·인적요인 등 전 범주 위험요인을 체계적으로 식별하는가?
[출력형식] JSON: {""조직중점사항"":[], ""심사원중점사항"":[], ""결함사례"":[], ""판정"":""적합|부적합|개선필요|관찰 중 1"", ""심각도"":""Cat.1|Cat.2|Cat.3 중 1"", ""근거증빙"":[]}
[품질기준] ISO 45001 6.1.2.1 적합성 + 정확성·일관성·검증가능성 + 법규 준수","원본 p.3 6.1.2 / p.14-15 표-5,6",,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M,precision/recall@IoU50; OCR-accuracy,"≥95% (PPE/OCR), ≥0.5 IoU",CCTV; 현장 사진; 드론(필요 시),Y,
