clause,title,mece_domain,requirement,required_documents,required_records,required_process,evidence_examples,legal_links,nc_cat1,nc_cat2,nc_cat3,audit_evidence_type,objective_metrics,img_scene_types,img_object_categories,img_ppe_items,img_unsafe_actions_keywords,img_signage_text_keywords,img_evidence_sources,img_model_hint,img_acceptance_criteria,img_mapping_confidence
4.1,조직과 조직상황의 이해,조직상황,OH&S 의도한 결과 달성을 위해 조직의 내·외부 이슈를 식별·분석·갱신하고 경영검토에 반영한다.,내·외부 이슈 파악 Sheet,경영검토 입력/회의록,-,"이슈 목록, 영향평가 기록",중대재해법 관련 경영책임자 의무 점검,내·외부 이슈 식별/분석 문서가 전혀 없거나 경영검토에 미반영(시스템 부재).,"이슈는 있으나 최신성이 부족, 영향평가 미흡, 일부 기능만 적용(경미한 불이행).","이슈-목표/조치 연계 고도화 필요, 정량지표 보완(개선기회).",문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
4.2,근로자 및 기타 이해관계자의 니즈와 기대 이해,조직상황,근로자·계약자·공급자·고객·기관 등 이해관계자를 파악하고 요구를 법적/기타 요구사항으로 전환·관리한다.,이해관계자 파악 Sheet/요구사항 목록,경영검토 반영 기록,-,요구사항 매핑표·피드백 기록,표-7 법적·기타 요구사항 연계,이해관계자 식별 또는 요구사항 목록 부재/법규 전환 미실시.,"요구사항은 있으나 업데이트/경영검토 반영 미흡, 일부 이해관계자 누락.",요구→프로세스/목표 연결의 정밀도 향상 필요.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
4.3,안전보건경영시스템 적용범위 결정,조직상황,내·외부 이슈와 이해관계자 요구를 고려하여 OH&S MS의 경계와 적용성을 정의·문서화한다.,적용범위 문서,-,-,적용범위 선언서,-,OH&S 적용범위 미정의 또는 실제 활동과 불일치.,"적용범위 최신화 미흡, 문서/게시 불일치.",범위 설명의 구체성·경계 명확화 필요.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
4.4,안전보건경영시스템,조직상황,규격 요구를 반영한 프로세스와 상호작용을 정의·운영·개선한다.,시스템 매뉴얼/프로세스 맵,프로세스 실행기록,[표-1] 14개 필수 프로세스,프로세스 맵/비즈니스 매트릭스,-,"안전보건경영시스템의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",안전보건경영시스템의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,안전보건경영시스템의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
5.1,리더십과 의지표명,리더십,"최고경영자는 자원 가용성, 시스템 통합, 협의·참여 보장, 보복 금지 등 책무/보장을 실증한다.","방침, 목표, 경영검토 자료",경영지시 이행기록/인터뷰,-,KPI·자원 배정 근거,-,"최고경영자의 책무·보장 행위 부재(자원 미가용, 시스템 통합 미보장 등).",일부 보장 항목 누락(예: 협의·참여 미보장) 또는 형식적 이행.,경영 KPI 연동/문화 촉진 활동 고도화 필요.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
5.2,안전보건 방침,리더십,예방·법규준수·위험요인 제거·지속개선·협의·참여 약속을 포함한 방침을 수립·유지·의사소통한다.,방침서/게시/교육자료,교육기록,-,방침 게시·교육 기록,-,OH&S 방침 부재/서명·공개·유지 미실시.,"방침에 필수 약속(법규, 위험요인 제거 등) 누락 또는 교육·의사소통 미흡.",방침과 목표/프로세스의 정렬성 고도화 필요.,문서/인터뷰/현장,,공지 게시판; 사내 디지털 사이니지,안전방침 게시물; 공지 포스터,,,,CCTV; 현장 사진; 드론(필요 시),OCR(게시판 문안); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),방침 최신본 게시 확인; OCR 문안 일치율 ≥ 95%,H
5.3,"조직의 역할, 책임 및 권한",리더십,역할·책임·권한을 조직 전 계층에 부여·의사소통하고 성과를 최고경영자에 보고한다.,조직도/업무분장/권한 매트릭스,보고기록,-,R&R 문서,-,"조직의 역할, 책임 및 권한의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).","조직의 역할, 책임 및 권한의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).","조직의 역할, 책임 및 권한의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).",문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
5.4,근로자 협의 및 참여,리더십,협의(9개)와 참여(7개) 사항에 대한 프로세스를 수립·운영·유지하며 장벽을 제거한다.,위원회 운영지침·명부·회의록,참여실적/정보제공 기록,근로자 협의·참여 프로세스,협의체 의사록·교육일지,-,"협의·참여 프로세스 부재, 위원회 미운영.","회의 주기/참여/의제의 실효성 부족, 장벽 제거 미흡.",지표 기반 참여 효과 관리 강화 필요.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
6.1.1,리스크와 기회를 다루는 조치(일반),기획,4.1/4.2/4.3을 고려하여 MS의 의도한 결과 달성에 필요한 리스크·기회를 결정하고 조치를 계획·통합한다.,리스크/기회 목록·조치계획,조치 이행·효과 기록,-,SWOT·FMEA 등,-,"리스크와 기회를 다루는 조치(일반)의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",리스크와 기회를 다루는 조치(일반)의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,리스크와 기회를 다루는 조치(일반)의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
6.1.2.1,위험요인 파악,기획,"사회적 요소, 작업·설비·자재, 과거사건, 비상상황, 인원 범위, 설계·내외부 상황, 변경, 지식변화 등을 포괄해 지속적으로 파악한다.",위험성평가 절차,위험요인 목록·참여 기록,위험요인 파악 프로세스,순회점검/평가표,-,위험성평가/위험요인 파악 미수행 또는 범주 대다수 누락.,"일부 범주(비상사태, 변경, 외주 등) 누락, 현장참여 미흡.",파악 주기·참여 폭 확대 필요.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
